Brand_Reg,Model_No,screensize,Screen_Tech,Avg_mode_power,Star2,Screen_Size_Inch,Advertised_Size_Int,Advertised_Size_Category
Telefunken,TL320TQ1,80.039,LCD (LED),35.1,5,31.51141732,32,32.0 inch
Telefunken,TL320QT,80.039,LCD (LED),35.1,5,31.51141732,32,32.0 inch
Telefunken,TL320QT2,80.039,LCD (LED),35.1,5,31.51141732,32,32.0 inch
Telefunken,TL320QT3,80.039,LCD (LED),35.1,5,31.51141732,32,32.0 inch
Qbell,QTF50T,125.731,LCD (LED),55.52,6,49.5003937,50,50.0 inch
Telefunken,TL430TQZ,107.953,LCD (LED),58.3,5,42.5011811,43,43.0 inch
Telefunken,TL430TQZ1,107.953,LCD (LED),58.3,5,42.5011811,43,43.0 inch
Telefunken,TL430TQZ2,107.953,LCD (LED),58.3,5,42.5011811,43,43.0 inch
Telefunken,TL430TQZ3,107.953,LCD (LED),58.3,5,42.5011811,43,43.0 inch
Blaupunkt,BP24TIZDVD,59.824,LCD (LED),27.25,4,23.55275591,24,24.0 inch
Lg,OLED65G6PSB,163.897,OLED,112,5.5,64.52637795,65,65.0 inch
Lg,OLED55G6PSB,138.783,OLED,92,5,54.63897638,55,55.0 inch
Lg,OLED55C6PSA,138.783,OLED,96,4.5,54.63897638,55,55.0 inch
Philips,24HFL4025/97,59.827,LCD (LED),10,4.5,23.55393701,24,24.0 inch
Telefunken,TL500TQZ,125.731,LCD (LED),55.52,6,49.5003937,50,50.0 inch
Telefunken,TL500TQZ1,125.731,LCD (LED),55.52,6,49.5003937,50,50.0 inch
Telefunken,TL500TQZ2,125.731,LCD (LED),55.52,6,49.5003937,50,50.0 inch
Telefunken,TL500TQZ3,125.731,LCD (LED),55.52,6,49.5003937,50,50.0 inch
Eko,K50FST,125.731,LCD (LED),55.52,6,49.5003937,50,50.0 inch
Aiwa,AWS60DG,152.661,LCD (LED),102,5,60.10275591,61,61.0 inch
Jvc,LT-70NQ7165A,176.539,LCD (LED),136.3,4.5,69.50354331,70,70.0 inch
