brand,count
Samsung Electronics,817
Kogan,710
Lg,606
Samsung,279
Hisense,260
Sylvox,130
Philips,117
Jvc,112
Eko,98
Tcl,91
Sony,91
Blaupunkt,74
Bauhn,69
Emete,55
Caixun,55
Toshiba,50
Aiwa,44
Chiq,44
Linsar,33
Akai,28
Loewe,27
Ffalcon,26
Spark Electronics,25
Englaon,25
Walton,24
Skyworth,23
Telefunken,17
Iluma,14
Sphere,13
Dgtec,12
Polaroid,11
Teac,11
Veon,10
Sharp,10
Teco,9
Digitech,9
Qbell,8
Prism+,8
Konka,8
Coocaa,7
Hyundai,7
Altius,6
Aoa,5
Yokohama,5
Kodak,5
Smarttech,5
Metz,5
Smtv,5
Zen Tv,4
Svision,4
Monster,4
Furrion,4
"Shenzhen Xinchaoda Technology Co., Ltd",4
Fpd,3
Soniq,3
Avel Innovations,3
Myvi,3
Thomson,2
Q.bell,2
Hubbl Glass,2
Gorilla,2
Devanti,2
Tenet,1
Rca,1
Palsonic,1
Brooklyn,1
Wintal,1
Hubbl,1
S Vision,1
Dynalink,1
Vdt,1
Tavice,1
Signify,1
Lsp Tv,1
Stan Cash,1
Sharetv,1
